,title,year,budget_2013$,intgross_2013$
470,Drag Me to Hell,2009,32571948,99223368.0
471,Enter the Void,2009,17371706,366974.0
472,Everybody&#39;s Fine,2009,21714632,9998368.0
473,Fantastic Mr. Fox,2009,43429264,50485349.0
474,Fast &amp; Furious,2009,92287186,394190344.0
475,Fired Up!,2009,21714632,20203912.0
476,Fish Tank,2009,3257195,6430020.0
477,Friday the 13th,2009,18457437,99562425.0
478,Funny People,2009,78715541,78042718.0
479,G-Force,2009,162859739,312028062.0
480,G.I. Joe: The Rise of Cobra,2009,190003029,328400169.0
481,Gamer,2009,54286580,38068663.0
482,Get Low,2009,7600121,10528267.0
483,Harry Brown,2009,7925841,6833747.0
484,Harry Potter and the Half-Blood Prince,2009,271432899,1014525504.0
485,He&#39;s Just Not That Into You,2009,43429264,193683923.0
486,I Come with the Rain,2009,19543169,681212.0
487,I Love You Phillip Morris,2009,14114511,16443063.0
488,"I Love You, Man",2009,43429264,99593620.0
489,Ice Age: Dawn of the Dinosaurs,2009,97715844,963009937.0
490,Inglourious Basterds,2009,76001212,344146212.0
491,Invictus,2009,53200848,135164207.0
492,It&#39;s Complicated,2009,92287186,243871325.0
493,Jennifer&#39;s Body,2009,17371706,35646920.0
494,Julie &amp; Julia,2009,43429264,137503693.0
495,Knowing,2009,54286580,203964063.0
496,Law Abiding Citizen,2009,57543775,142404318.0
497,Life During Wartime,2009,4885792,305576.0
498,Micmacs (Micmacs &agrave; tire-larigot),2009,45600727,12764862.0
499,Monsters vs Aliens,2009,190003029,414410048.0
500,Moon,2009,5428658,11591350.0
501,Mother and Child,2009,7600121,5440068.0
502,My Bloody Valentine 3D,2009,15200242,111564348.0
503,My Sister&#39;s Keeper,2009,29857619,104960933.0
504,Nine,2009,86858528,58096258.0
505,Ninja Assassin,2009,54286580,66905911.0
506,Nowhere Boy,2009,2062890,8452669.0
507,Ondine,2009,13028779,597665.0
508,Paa,2009,4668646,10630704.0
509,Pandorum,2009,43429264,18493734.0
510,Perrier&#39;s Bounty,2009,7165829,899.0
511,Planet 51,2009,65143896,118340524.0
512,Precious: Based on the Novel Push by Sapphire,2009,10857316,74614567.0
513,Public Enemies,2009,111287489,228416195.0
514,Push,2009,41257801,48218998.0
515,Sherlock Holmes,2009,97715844,541170116.0
516,Splice,2009,32571948,24386618.0
517,Star Trek,2009,152002424,418745446.0
518,State of Play,2009,65143896,99285148.0
519,Surrogates,2009,86858528,129927709.0
520,Terminator Salvation,2009,217146319,403488847.0
521,The Blind Side,2009,38000606,331914441.0
522,The Boat That Rocked,2009,54286580,40685241.0
